Rank	Gene	HalfLife1	HalfLife2	HalfLife3	AverageHalfLife
111	YBR170C	127.851986265	1117.62383802	57.0210041298	434.165609471
112	YPL257W	54.2279471598		784.081238517	419.154592838
113	YNL226W	48.8028960439		784.745939728	416.774417886
114	YLR245C	52.9048492183	1096.35969127	89.8391057285	413.034548739
115	YMR244W	218.055482063	217.460307879	786.38444755	407.300079164
116	YMR010W	28.1238524092	963.932737914	209.876460032	400.644350119
117	YKR052C	35.9552285396	1151.82242448	11.1231551394	399.63360272
118	YLR178C	397.5552492			397.5552492
119	YLR445W	48.1495120866		739.622837672	393.886174879
120	YDR168W	63.951219167	1091.27292019	22.2424285075	392.488855954
121	YDR383C	1105.77037308	9.97070293577	46.0211796638	387.254085226
122	YGR183C		106.316043671	663.239473854	384.777758763
123	YBR126C	26.1567841104	1078.37957089	42.2270339732	382.25446299
124	YDL175C	53.4100713089	1058.77873373	30.6661758812	380.951660305
125	YNL012W	550.348516853	526.924334929	52.0241500752	376.432333953
126	YOR152C	42.8196297797	1040.31061736	43.6646145488	375.598287229
127	YOR334W	513.657509089	59.5870479399	549.780212861	374.341589963
128	YDR281C	469.267136176	277.837098751		373.552117463
129	YLL055W	62.9780905385	971.68063738	85.0076804656	373.222136128
130	YLR205C	128.412074036	846.675958227	135.870076038	370.319369434
131	YKL187C	1004.89214868	44.0934527628	61.5606913177	370.182097585
132	YGR142W	20.9914313418	1053.00686231	28.0995019632	367.365931873
133	YNL120C	43.2723278253	687.936067765		365.604197795
134	YOL087C	70.8375427188	965.037398707	48.0570940508	361.310678492
135	Q0120	76.9047693609	240.454988579	762.468205271	359.942654404
136	YNL182C	358.821323698			358.821323698
137	YBL078C		574.779993198	121.402018554	348.091005876
138	YOL134C	790.227501204	103.833554869	141.012864782	345.024640285
139	YLR392C	544.348259006	330.137746554	145.715834872	340.067280144
140	YDR340W	96.3723845173	867.482996698	38.1810722568	334.012151157
141	YPL148C	114.692126127	829.307534088	54.2145387867	332.738066334
142	YMR158W-A	67.7904581941	864.665317273	58.8525794984	330.436118322
143	YGL093W	180.122448774	474.606529928		327.364489351
144	YMR316C-A	67.3642173752	878.110436875	35.9297783549	327.134810868
145	YNL092W	20.9777794132	922.205187225	36.2767771154	326.486581251
146	YNL013C	30.3949184035	888.112801981	59.178991004	325.895570463
147	YNL093W	564.072793082		82.9882338948	323.530513489
148	YDR515W	892.348315332	8.68079490201	67.7340090108	322.921039748
149	YKL199C	730.643670327	89.3208263226	140.160167959	320.041554869
150	YJL041W	46.1506297174	879.386975669	31.066004987	318.867870125
151	YFR028C	34.9953945094	888.79002935	24.1095626119	315.96499549
152	YDR063W	33.6475838076	597.433517909		315.540550858
153	YPR151C	29.2632357282	195.853711535	720.382926069	315.166624444
154	YHR140W	94.2550730661	138.349833302	710.083771786	314.229559385
155	YPL005W	49.5011684538	830.620305605	62.2039810582	314.108485039
156	YOR298W	313.25007448			313.25007448
